custid,region,townsize,gender,age,agecat,ed,edcat,income,debtinc,churn
3964-QJWTRG-NPN,1,2,1,20,2,15,3,31,11.1,1
0648-AIPJSP-UVM,5,5,0,22,2,17,4,15,18.6,0
5195-TLUDJE-HVO,3,4,1,67,6,14,2,35,9.9,0
4459-VLPQUH-3OL,4,3,0,23,2,16,3,20,5.7,0
8158-SMTQFB-CNO,2,2,0,26,3,16,3,23,1.7,0
9662-FUSYIM-1IV,4,4,0,64,5,17,4,107,5.6,0
7432-QKQFJJ-K72,2,5,1,52,5,14,2,77,1.9,0
8959-RZWRHU-ST8,3,4,1,44,4,16,3,97,14.4,0
9124-DZALHM-S6I,2,3,1,66,6,12,2,16,2.6,0
3512-MUWBGY-52X,2,2,0,47,4,11,1,84,4.1,1
5621-QSZPSF-NF2,4,1,1,59,5,19,4,47,8.6,1
8241-PWPONH-62O,2,4,1,33,3,8,1,19,0.9,1
8795-FYOXCT-P09,5,2,0,44,4,10,1,73,2.8,0
1705-NMIQNO-IC4,3,2,0,58,5,18,4,63,10.5,0
9205-PAZEXY-90Q,2,1,1,72,6,20,5,17,9.8,0
4225-PZZDIY-IBH,3,1,1,66,6,13,2,23,9.3,0
0758-EQEGIQ-3OF,1,1,1,57,5,17,4,171,9.5,0
0649-TBFJFL-QU4,5,2,0,63,5,14,2,424,10.7,0
2228-KOLOPU-FY3,5,5,1,28,3,11,1,23,4.8,0
3853-NVDCOJ-TIN,1,1,1,78,6,16,3,22,15.2,0
0765-UXAFYM-PDR,3,3,0,61,5,16,3,35,10.1,0
9937-SFPLRK-H9Y,2,4,0,70,6,17,4,28,9.3,1
0712-WQXYVV-HUP,4,1,0,61,5,14,2,12,21.5,0
6441-FJUWZQ-7G8,3,4,0,37,4,11,1,29,15.7,0
7634-AVNEXZ-7AG,1,3,0,39,4,12,2,130,11.3,0
2041-PNMGHX-TXJ,4,3,1,73,6,14,2,69,14.8,0
4626-BQZAUJ-V9K,5,4,1,26,3,16,3,24,11.7,1
2969-ODPCDX-5DC,2,1,1,24,2,17,4,29,14,1
4974-FUBHDF-Z7L,3,1,1,77,6,15,3,11,10.2,0
2525-OSULNV-0KS,5,3,0,36,4,19,4,30,15.5,0
4973-FHPBZQ-AAA,3,5,0,55,5,14,2,80,6.5,0
4726-RQKGNB-WAK,2,2,1,60,5,18,4,51,7.8,0
6592-QBSENI-6Y4,1,1,1,59,5,8,1,30,2.8,0
5538-DRGHIE-PF0,1,1,0,28,3,11,1,17,8.2,0
3550-PQUPPM-42T,3,3,0,53,5,20,5,141,9.9,1
9809-NBCXAS-1RB,4,5,0,36,4,12,2,45,8.3,0
8733-EDAXNE-8DV,3,1,0,47,4,20,5,137,13.7,0
8170-YHWTSQ-825,5,2,0,75,6,11,1,10,2.4,0
1144-GVCZDP-8DV,2,3,1,49,4,22,5,73,9.2,1
8846-JJEGFU-I69,1,1,1,59,5,13,2,63,6,0
4226-TEHKPJ-GKG,1,2,1,55,5,12,2,50,5.1,0
9714-LCYJJB-SCS,5,2,0,25,3,14,2,50,10.5,0
2866-TTOTKL-TA7,5,4,0,78,6,11,1,28,9.8,0
7217-UECHSF-PCR,1,1,1,48,4,11,1,23,18.7,0
0197-AMEAYR-851,5,1,0,47,4,19,4,75,2.2,1
1743-WAHPKT-DNW,5,1,0,75,6,10,1,28,3.3,0
9840-VEWFQZ-W5V,3,1,1,43,4,19,4,33,12.6,0
6203-JLXPIJ-YQZ,5,5,0,45,4,10,1,44,13.6,0
4166-WEDNXN-5RK,5,4,0,21,2,16,3,31,9.2,0
4643-WSLHBV-DM5,2,1,0,53,5,21,5,284,9.4,0
1441-JNZRPW-8KQ,3,3,1,30,3,13,2,49,2.1,1
5811-BKUTYY-F7I,2,1,1,58,5,19,4,15,7.6,0
0926-OZQUQX-GXA,2,2,0,35,4,11,1,17,2.3,0
5007-HXEVVL-NW5,3,2,1,48,4,14,2,83,11.3,0
8101-YOBRYX-REF,3,3,1,57,5,15,3,82,34.2,0
8267-UTARFV-TZK,4,1,1,61,5,20,5,62,2.3,1
4432-KMTQXO-788,5,4,1,56,5,19,4,138,7,0
9172-WITHKP-BXZ,2,1,1,29,3,17,4,35,5.7,0
1114-UELZXT-QT7,4,1,1,68,6,11,1,35,12.2,0
0992-DNDKIT-CUP,5,3,0,22,2,16,3,20,5.2,1
2654-JRLXAI-HC7,2,1,1,46,4,10,1,25,7.7,0
0405-BACHZT-AYK,4,1,0,24,2,17,4,33,3.9,1
4939-KCMADL-HLM,3,2,1,78,6,16,3,32,23.1,0
4724-UVMKNV-Z1I,2,2,0,73,6,10,1,16,3,0
4231-HZEXGK-HRI,4,3,1,26,3,20,5,64,3.9,0
4979-WSWKYV-BSV,2,1,1,44,4,15,3,31,14.8,0
7245-IUATZR-VLV,5,1,0,30,3,12,2,18,14.5,0
2041-WAUPOH-84L,1,4,0,44,4,8,1,41,3.1,0
5472-GUGMBS-ZVK,3,2,1,21,2,12,2,22,2.7,0
1811-FUILIP-L3S,3,1,1,62,5,9,1,14,15,0
2687-GRSYRT-YRW,4,3,0,33,3,14,2,82,6.9,1
9184-ABVZGX-Z4V,2,1,0,65,6,17,4,91,0.3,1
9891-ZXATIA-55Z,3,2,0,38,4,16,3,74,4.7,0
6246-WBWHHS-GFB,4,3,1,34,3,15,3,46,2.1,0
2212-AOYDMW-0ZV,2,2,0,78,6,20,5,14,8.2,0
8268-VLELYK-IJK,5,3,1,47,4,10,1,68,22,0
6023-TINSQC-7T4,3,3,1,60,5,19,4,101,7.2,1
