@relation 'customer_labThree-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.NumericToNominal-R2,3,5,7,9,10,13-weka.filters.unsupervised.attribute.NumericToNominal-R4,8,11,12,14,15,16,17,18-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-V-R5,10,12,16,18'

@attribute edcat numeric
@attribute equip {0,1}
@attribute internet {0,1,2,3,4}
@attribute confer {0,1}
@attribute response_01 {0,1}

@data
0.5,0,2,0,1
0.25,0,0,0,1
0,0,0,1,1
0,0,0,0,1
0,0,1,1,1
0.5,0,1,0,1
0,0,0,1,1
0.25,0,0,0,1
0,0,0,1,1
0.25,0,0,0,1
0.5,0,2,0,1
0.75,1,2,1,1
0.75,0,0,1,1
0.25,0,0,1,1
0,0,0,1,1
0,0,0,0,1
0.5,1,0,0,1
0,0,0,0,1
0.25,0,0,0,1
0.5,0,1,0,1
1,1,3,0,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0.75,1,4,1,1
0,0,0,1,1
0.75,1,2,0,1
0.5,0,2,1,1
0.25,0,1,1,1
0.5,0,1,0,1
0,0,1,0,1
0.25,0,0,1,1
0,0,0,1,1
0.25,0,0,1,1
0.25,0,0,1,1
0,0,0,1,1
0.25,0,2,1,1
0.75,1,4,0,1
0,0,0,0,1
0.5,0,0,0,1
0.25,0,0,1,1
0,0,0,1,1
0,0,1,1,1
0.75,0,0,1,1
0,0,0,1,1
0.25,0,0,0,1
1,1,2,1,1
0.25,1,3,1,1
0.25,0,0,1,1
0.25,0,0,1,1
0.25,0,0,0,1
0,0,1,0,1
0,0,0,1,1
0.25,0,0,1,1
0,0,0,1,1
0.25,0,0,1,1
0,0,0,1,1
0.25,0,0,1,1
0,0,0,1,1
0.25,0,0,0,1
0.25,0,0,0,1
0,0,0,0,1
0.25,0,3,1,1
0.25,1,3,1,1
0.5,0,2,1,1
0.25,0,1,0,1
0.25,1,2,0,1
0.25,0,0,0,1
0,0,0,1,1
0.75,1,4,0,1
0.25,1,0,1,1
0.75,0,3,1,1
0.25,0,0,1,1
0.25,0,0,0,1
0,0,0,0,1
0.25,0,0,1,1
0.25,0,0,1,1
0,0,0,0,1
0.25,1,2,1,1
0.25,0,0,1,1
0,0,0,1,1
0.25,0,0,1,1
0,0,0,1,1
0.25,0,0,1,1
0,0,0,1,1
0.25,0,1,0,1
0,0,0,1,1
0,0,0,0,1
0,0,0,1,1
0,0,0,1,1
0.5,1,4,1,1
0.25,0,0,0,1
0.25,0,0,1,1
0.5,0,0,1,1
0.75,1,3,1,1
0,0,0,1,1
0.25,1,2,1,1
0.25,0,0,0,1
0.5,0,0,1,1
0.25,0,0,1,1
0,0,0,1,1
0.75,0,1,1,1
0.25,0,0,0,1
0.25,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0.75,0,3,1,1
0.25,0,1,1,1
0.75,1,1,1,1
0.75,1,1,0,1
0.25,1,2,1,1
0.75,0,1,1,1
0.75,0,0,1,1
0.5,0,4,1,1
0.5,0,0,0,1
0.5,0,0,0,1
0.5,0,2,0,1
0,0,0,0,1
0.5,1,3,0,1
0,0,0,0,1
0.75,0,3,1,1
0,0,1,0,1
0.25,1,0,1,1
1,1,0,1,1
0.25,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0.25,0,0,1,1
0.5,0,0,0,1
0.25,0,0,0,1
0.75,0,2,1,1
0.25,0,0,1,1
0,0,0,0,1
0,0,0,0,1
0,0,0,1,1
0.25,0,0,1,1
0.25,0,3,0,1
0,0,0,1,1
0.25,1,2,0,1
0.5,0,0,1,1
0.25,0,0,1,1
0,0,0,0,1
0.25,0,2,1,1
0.25,0,0,0,1
0,0,1,1,1
0.25,0,0,1,1
0.25,1,1,1,1
0.75,0,0,0,1
0,0,0,0,1
0.25,0,0,1,1
0.25,0,0,1,1
0.75,0,2,1,1
0.25,0,0,1,1
0.25,0,0,0,1
0.25,1,2,1,1
0,0,0,1,1
0.25,0,0,0,1
0,0,0,1,1
0.5,0,0,0,1
0.5,0,0,0,1
0.25,0,0,0,1
0.25,0,0,1,1
0,0,0,0,1
0.25,0,1,1,1
0.25,0,0,0,1
0.25,0,0,1,1
0.25,0,0,1,1
0,0,0,1,1
0.5,1,0,1,1
0,0,0,0,1
0.5,0,0,0,1
0.75,0,4,1,1
0.25,0,0,1,1
0.25,1,4,0,1
1,0,3,0,1
0.5,0,1,1,1
0.25,0,0,0,1
0,0,0,1,1
0.25,1,3,0,1
0.5,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0.75,0,0,0,1
0.5,0,0,1,1
0.25,0,0,0,1
0.25,0,2,1,1
0.5,0,0,1,1
0,0,0,0,1
0,0,0,1,1
0.25,1,1,0,1
0.5,1,4,0,1
0.5,1,3,1,1
0.25,0,1,1,1
0,0,0,1,1
0.25,0,0,1,1
0.75,0,2,1,1
0.75,1,3,1,1
0.75,0,0,1,1
0,0,0,0,1
0.75,1,3,0,1
0.25,0,3,1,1
0.25,0,0,0,1
0.5,0,0,1,1
0.75,0,0,0,1
0.25,1,3,1,1
0.25,0,0,1,1
0,0,0,1,1
0.75,1,0,1,1
0.75,1,2,0,1
0,0,0,0,1
0.75,0,1,1,1
0.25,1,0,1,1
0.75,0,0,0,1
0.75,0,0,0,1
0.25,0,0,0,1
0,0,0,0,1
0.75,0,4,1,1
0.75,0,0,1,1
0,0,0,0,1
0.75,1,2,1,1
0.5,0,0,1,1
1,0,0,0,1
0,0,0,0,1
0,0,0,1,1
0.5,1,1,1,1
0,0,0,1,1
0.25,0,0,0,1
0.5,0,0,1,1
0,0,0,0,1
0,0,0,1,1
0.25,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0.25,0,3,1,1
0.75,0,1,1,1
0.25,0,0,0,1
0.5,1,3,1,1
1,0,1,1,1
0,0,0,0,1
0,0,1,1,1
0,0,0,0,1
0.25,0,0,0,1
0.25,0,0,0,1
0.25,0,0,0,1
0.75,1,3,1,1
0.75,0,0,0,1
0.75,0,4,1,1
0.25,0,0,0,1
0.25,0,1,0,1
0.25,0,0,0,1
0.5,1,4,0,1
0.75,0,0,0,1
0,0,0,1,1
0.75,1,1,1,1
0.25,1,3,1,1
0.5,0,0,1,1
0.75,1,1,0,1
0.75,0,0,1,1
0,0,0,1,1
0.25,0,0,1,1
0.25,0,0,0,1
0.25,0,0,1,1
1,0,3,1,1
0.5,0,0,0,1
0.25,0,3,0,1
0.5,0,0,1,1
0,0,0,1,1
0.75,1,3,1,1
0,0,0,1,1
0.5,0,1,0,1
0,0,0,1,1
0.25,0,0,0,1
0.25,0,0,0,1
0.5,1,0,0,1
0.25,0,0,1,1
0,0,0,0,1
0,0,0,0,1
0.25,1,2,0,1
0.25,0,1,1,1
0.75,1,2,1,1
