@RELATION GermanCredit

@ATTRIBUTE CheckingAccount {<0,<200,>=200,none}
@ATTRIBUTE Duration NUMERIC
@ATTRIBUTE CreditHistory {ok,ok_at_this_bank,ok_til_now,past_delays,critical}
@ATTRIBUTE Purpose {car_new,car_used,furniture,television,appliances,repairs,education,vacation,retraining,business,others}
@ATTRIBUTE CreditAmount NUMERIC
@ATTRIBUTE SavingsAccount {<100,<500,<1000,>=1000,unknown}
@ATTRIBUTE YearsEmployed {unemployed,<1,<4,<7,>=7}
@ATTRIBUTE InstallmentRate NUMERIC
@ATTRIBUTE PersonalStatus {male_divorced,female,male_single,male_married,female_single}
@ATTRIBUTE OtherDebtors {none,co,guarantor}
@ATTRIBUTE ResidentSince NUMERIC
@ATTRIBUTE Property {real_estate,savings,car,unknown}
@ATTRIBUTE Age NUMERIC
@ATTRIBUTE OtherPlans {bank,stores,none}
@ATTRIBUTE Housing {rent,own,free}
@ATTRIBUTE NumCreditsAtBank NUMERIC
@ATTRIBUTE Job {unemployed,unskilled,skilled,management}
@ATTRIBUTE Dependents NUMERIC
@ATTRIBUTE Telephone {no,yes}
@ATTRIBUTE Foreign {yes,no}
@ATTRIBUTE Approve {good,bad}

@DATA
<0,0,ok,furniture,-1000000000,unknown,unemployed,-10000,female_single,none,0,car,-293,none,own,-1000,skilled,-185,yes,no,good
<0,6,critical,television,1169,unknown,>=7,4,male_single,none,4,real_estate,67,none,own,2,skilled,1,yes,yes,good
<200,48,ok_til_now,television,5951,<100,<4,2,female,none,2,real_estate,22,none,own,1,skilled,1,no,yes,bad
none,12,critical,education,2096,<100,<7,2,male_single,none,3,real_estate,49,none,own,1,unskilled,2,no,yes,good
<0,42,ok_til_now,furniture,7882,<100,<7,2,male_single,guarantor,4,savings,45,none,free,1,skilled,2,no,yes,good
<0,24,past_delays,car_new,4870,<100,<4,3,male_single,none,4,unknown,53,none,free,2,skilled,2,no,yes,bad
none,36,ok_til_now,education,9055,unknown,<4,2,male_single,none,4,unknown,35,none,free,1,unskilled,2,yes,yes,good
none,24,ok_til_now,furniture,2835,<1000,>=7,3,male_single,none,4,savings,53,none,own,1,skilled,1,no,yes,good
<200,36,ok_til_now,car_used,6948,<100,<4,2,male_single,none,2,car,35,none,rent,1,management,1,yes,yes,good
none,12,ok_til_now,television,3059,>=1000,<7,2,male_divorced,none,4,real_estate,61,none,own,1,unskilled,1,no,yes,good
<200,30,critical,car_new,5234,<100,unemployed,4,male_married,none,2,car,28,none,own,2,management,1,no,yes,bad
<200,12,ok_til_now,car_new,1295,<100,<1,3,female,none,1,car,25,none,rent,1,skilled,1,no,yes,bad
<0,48,ok_til_now,business,4308,<100,<1,3,female,none,4,savings,24,none,rent,1,skilled,1,no,yes,bad
<200,12,ok_til_now,television,1567,<100,<4,1,female,none,1,car,22,none,own,1,skilled,1,yes,yes,good
<0,24,critical,car_new,1199,<100,>=7,4,male_single,none,4,car,60,none,own,2,unskilled,1,no,yes,bad
<0,15,ok_til_now,car_new,1403,<100,<4,2,female,none,4,car,28,none,rent,1,skilled,1,no,yes,good
<0,24,ok_til_now,television,1282,<500,<4,4,female,none,2,car,32,none,own,1,unskilled,1,no,yes,bad
none,24,critical,television,2424,unknown,>=7,4,male_single,none,4,savings,53,none,own,2,skilled,1,no,yes,good
